,metric_bc,angular_bc,global_int,local_int,degree
metric_bc,1.0,0.4627028925227089,0.32318311025997104,-0.15677405010555986,0.07365378079564071
angular_bc,0.4627028925227089,1.0,0.3147926483330558,-0.17256513475127083,0.11162530849997021
global_int,0.32318311025997104,0.3147926483330558,1.0,-0.22985569935945258,0.10166848660149039
local_int,-0.15677405010555986,-0.17256513475127083,-0.22985569935945258,1.0,-0.17293098890268568
degree,0.07365378079564071,0.11162530849997021,0.10166848660149039,-0.17293098890268568,1.0
