Metric,Mean,Std,CV%,Max,Min,Range
Metric Betweenness,0.008160087872593568,0.017592658561176266,215.59398422978853,0.21423677823164397,0.0,0.21423677823164397
Angular Choice,0.00617323330884266,0.017172036204188487,278.1692404139485,0.20122466297292554,0.0,0.20122466297292554
Global Integration,0.029527953462900956,0.004501461223503212,15.244745048649802,0.04004385052212214,0.01884609236231907,0.021197758159803074
Local Integration,0.44121955829692266,0.022104648629387474,5.009897728629689,0.5894736842105264,0.2884401993325942,0.3010334848779322
Degree Centrality,0.0008098099971197787,0.00011997048272043088,14.814645799277049,0.0012970168612191958,0.0003891050583657588,0.000907911802853437
