shade_06,shade_08,shade_10,shade_12,shade_14,shade_16,shade_18,shade_avg,length,mid_lat,mid_lon
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,9.299,25.25206395,55.31004085
0.8718,0.0,0.0,0.0,0.0,0.0,0.0,0.12454285714285715,15.349,25.2520208,55.30997395
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,20.896,25.252128710276853,55.309908885763846
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,43.091,25.252263831212527,55.31008430609616
0.5992,0.0,0.0,0.0,0.0,1.0,0.7648,0.3377142857142857,94.805,25.230879005441707,55.29315204803602
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,26.792,25.23031946473302,55.29030712896245
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,18.707,25.23251575,55.2910183
1.0,0.0,0.0,0.0,0.0,0.0,0.1174,0.15962857142857143,39.204,25.232752584074056,55.29113156885865
0.5962,0.0652,0.0,0.0,0.0,0.0,0.3701,0.14735714285714283,554.647,25.23476986886712,55.29238383290421
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,67.208,25.23283647226018,55.309676124374555
1.0,0.0,0.0,0.0,0.0,0.0,0.8345,0.26207142857142857,45.945,25.234338119073378,55.30471369287331
0.4942,0.0,0.0,0.0,0.0,0.0,0.188,0.09745714285714284,482.996,25.233584883979958,55.30495314512361
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,112.293,25.234681932929508,55.30437207140664
1.0,0.2385,0.0,0.0,0.0,0.0,0.3847,0.23188571428571428,632.128,25.23936028110468,55.306861999679626
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,220.577,25.234246173512265,55.305988479709434
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,13.796,25.2347555,55.30496915
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,143.822,25.23509805587008,55.30443265232561
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,43.006,25.234931480499096,55.304936326323464
0.874,0.0,0.0,0.0,0.0,0.0,0.6226,0.2138,75.688,25.25172525,55.3096388
0.5597,0.0,0.0,0.0,0.0,0.0759,0.746,0.19737142857142856,85.737,25.251781368436617,55.309545548178406
0.8734,0.0833,0.0404,0.0,0.0,0.0,0.3706,0.19538571428571427,144.103,25.25077948043477,55.309322338597426
1.0,0.0,0.0,0.0,0.0,0.0,0.6464,0.2352,350.49,25.236728945510237,55.30498759569947
1.0,0.0,0.0,0.0,0.0,0.412,0.5191,0.27587142857142855,174.592,25.23901787626329,55.30563400179125
1.0,0.0,0.0,0.0,0.0,0.0,0.4421,0.2060142857142857,126.6,25.238764936440404,55.305692994282666
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,20.834,25.2524896,55.3100774
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,11.804,25.2524906,55.31019205
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,14.059,25.25240465,55.3102229
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,11.516,25.25219225,55.309764
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,14.747,25.252109,55.30978695
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,44.287,25.25235334727666,55.30990164915798
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,3.669,25.24004775,55.2952408
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,11.73,25.240087,55.29528105
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,43.238,25.239938418238705,55.29544020999728
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,85.031,25.239696414548355,55.29507027578398
1.0,1.0,0.8971,0.0,0.0,0.0,0.0,0.41387142857142856,18.521,25.23979445,55.29570275
1.0,1.0,0.8622,0.0,0.0,0.0,0.0,0.4088857142857143,14.261,25.23989445,55.2956568
1.0,0.7582,0.0,0.0,0.0,0.0,0.0,0.25117142857142855,84.1,25.239506495464013,55.295420779183104
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,17.845,25.25148385,55.2900797
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,23.548,25.251373278226122,55.29011827004944
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,12.068,25.2513622,55.2902617
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,11.57,25.2512843,55.29018175
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,11.453,25.25129665,55.29027005
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,11.543,25.2470481,55.29953835
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,28.82,25.24693695,55.2996376
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,13.361,25.24694735,55.2994843
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,10.272,25.2470253,55.2994696
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,11.863,25.24684595,55.29981305
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,13.981,25.2468184,55.2997265
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,10.607,25.24691355,55.29978875
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,12.361,25.2444037,55.30730655
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,10.905,25.24450405,55.30733925
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,8.761,25.2444692,55.30728215
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,7.852,25.24436085,55.30725225000001
1.0,0.06,0.0,0.0,0.0,0.3776,0.4748,0.2732,106.499,25.243888746237715,55.30714836230409
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,10.857,25.2467227,55.29966285
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,27.716,25.2468288,55.2995732
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,12.756,25.2467346,55.29974535
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,10.528,25.24691755,55.29941035
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,12.343,25.246843357310183,55.29942853634729
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,14.788,25.2512122,55.29020595000001
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,17.65,25.25118785,55.2900831
0.9121,0.5686,0.6249,0.3603,0.0,0.0,0.0,0.35227142857142857,85.326,25.23138005,55.29096845
0.9475,0.0527,0.0,0.0,0.0,0.0,0.0,0.14288571428571428,184.482,25.251358042718568,55.31143284500426
1.0,0.0,0.0,0.0,0.0,0.0,0.6112,0.23017142857142855,19.845,25.24045312020212,55.29320309476453
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,189.94,25.240984851861246,55.292370505071915
0.8236,0.1758,0.0,0.0,0.0,0.0,0.0,0.14277142857142858,203.333,25.239969812994396,55.29396830887113
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,25.338,25.24173875,55.29022915
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,4.628,25.2416215,55.29015575
1.0,0.045,0.0,0.0,0.0,0.7834,0.7557,0.36915714285714285,80.952,25.2397306,55.29141575
0.9168,0.6332,0.1421,0.0831,0.0831,0.1476,0.3829,0.3412571428571428,79.165,25.23987465,55.29194645
1.0,0.2311,0.0,0.0,0.0,0.0,0.0,0.1758714285714286,26.115,25.24011025,55.2914925
1.0,0.0,0.0,0.0,0.0,0.3105,0.7902,0.3001,39.87,25.2388539,55.29089885
1.0,0.4469,0.3563,0.2999,0.2999,0.2999,0.7504,0.49332857142857145,27.174,25.2391199,55.2910557
1.0,0.1356,0.0736,0.0208,0.0208,0.0464,0.0661,0.19475714285714285,71.956,25.238846279478892,55.29129983315906
1.0,0.263,0.1955,0.167,0.167,0.3275,0.8076,0.41822857142857145,81.023,25.23937735,55.29209555
0.9376,0.1045,0.0911,0.0812,0.0812,0.0824,0.7968,0.3106857142857143,69.998,25.239974056817612,55.292451290714375
1.0,0.6098,0.0,0.0,0.0,0.0,0.6482,0.32257142857142856,29.277,25.2405652,55.29061565
1.0,0.4525,0.0,0.0,0.0,0.0,0.0,0.20750000000000002,48.968,25.24074035,55.2902783
1.0,0.0628,0.0,0.0,0.0,0.0633,0.4677,0.22768571428571427,78.961,25.240937055861195,55.29069077620172
1.0,0.5838,0.5938,0.4591,0.4591,0.9272,1.0,0.7175714285714285,22.896,25.23931855,55.29117284999999
1.0,0.4939,0.031,0.0225,0.1534,0.5943,0.9883,0.4690571428571428,184.103,25.239788253860766,55.29064495220144
1.0,0.0951,0.0,0.0,0.0,0.0,0.8701,0.2807428571428571,73.975,25.2403342,55.2910609
1.0,0.8365,0.0,0.0,0.0,0.1008,0.7352,0.3817857142857143,48.309,25.2374936,55.29097945000001
1.0,0.4223,0.0,0.0,0.0,1.0,1.0,0.4889,23.822,25.23721045,55.29080465
1.0,0.417,0.0438,0.0171,0.0171,0.7017,0.8093,0.4294285714285714,56.828,25.23689,55.29061695
1.0,0.0,0.0,0.0,0.0,0.0,0.2165,0.17378571428571427,62.075,25.243554737745622,55.29746140493097
1.0,0.0,0.0,0.0,0.0,0.0,0.1839,0.16912857142857143,65.77,25.243498591674438,55.297510664609156
1.0,0.7705,0.6892,0.5928,0.5749,0.5749,0.9348,0.7338714285714285,111.328,25.24420955750532,55.29790814090881
1.0,0.0,0.0,0.0,0.0,0.7527,0.7868,0.36278571428571427,79.388,25.2474974,55.2941348
1.0,0.1232,0.0,0.0,0.0,0.0672,0.7915,0.28312857142857145,37.101,25.24710125,55.29409705
1.0,0.6583,0.0,0.0,0.0,0.0,0.0442,0.24321428571428574,78.577,25.2473629,55.29360005
1.0,0.1339,0.0905,0.0112,0.0314,0.6755,0.8775,0.4028571428571429,79.171,25.24811505,55.29452855
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,4.138,25.24841345,55.29474445
1.0,0.2451,0.1532,0.0,0.0,0.0,0.1916,0.22712857142857143,151.051,25.248521741548736,55.29412133255148
1.0,1.0,0.0,0.0,0.0,0.0,0.576,0.368,17.72,25.253857,55.29266915
1.0,0.2933,0.0,0.0,0.0,0.0,0.0,0.18475714285714284,9.753,25.2539463,55.2927635
0.8379,0.0746,0.0,0.0,0.0,0.0,0.0,0.13035714285714287,22.98,25.25398991965266,55.29265006603618
0.6682,0.0,0.0,0.0,0.0,0.0,0.0498,0.10257142857142856,80.849,25.2543049,55.2922723
1.0,0.0737,0.0,0.0,0.0,0.4063,1.0,0.35428571428571426,39.774,25.2546841,55.2921255
1.0,0.0608,0.0,0.0,0.0,0.0,0.0,0.15154285714285715,17.602,25.2511324,55.2907573
1.0,0.2447,0.0,0.0,0.0,0.0,0.0,0.1778142857142857,97.797,25.25100755,55.291155
1.0,1.0,0.0686,0.0,0.0,0.0,0.0,0.29551428571428573,26.48,25.251292086628,55.29064050963824
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5714285714285714,6.011,25.2543898,55.2978138
1.0,1.0,0.0,0.0,0.0,0.1461,1.0,0.44944285714285714,8.983,25.2544388,55.29780785
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5714285714285714,10.708,25.254426,55.29774095000001
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5714285714285714,4.143,25.2543862,55.29777825
0.6237,0.4804,0.0,0.0,0.0,0.0,0.3355,0.20565714285714284,31.662,25.2543061,55.29362415
0.2608,0.0,0.0,0.0,0.0,0.0,1.0,0.1801142857142857,25.229,25.25445665,55.29357435
0.0,0.0,0.0,0.0,0.0,0.0,0.1391,0.01987142857142857,18.981,25.25431535,55.29341975
1.0,0.0,0.0,0.0,0.0,0.8183,1.0,0.4026142857142857,42.1,25.253738,55.29480425
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,7.057,25.25384615,55.29459115
