id,captured_at,compass_angle,creator_id,is_pano,sequence_id,lon,lat,organization_id,svf,gvi,svf_percent,gvi_percent,lst,ndvi,ndbi,lst_norm,gvi_norm,ndvi_norm,svf_norm,priority_score,priority_level
306520651044098,1496322597000,74.660223620995,111480967750226,False,mFYK0hGDlQTlFZnS5pG3Ww,55.30661880970001,25.244890034643163,1805883732926354.0,0.0292460123697916,0.0003933376736111,2.92460123697916,0.03933376736111,50.79622667000001,0.0246145874261856,0.107197880744934,0.6898243801652882,0.9993966410190179,0.8852660299593593,0.03987037014559941,0.7088126738345817,High
871068535855639,1767256012955,65.0,106609934906640,False,kO0Qw2TH5RNugaBDP8snoW,55.3015923500061,25.250057389485537,,0.1973686218261718,0.0004056294759114,19.73686218261718,0.04056294759114,48.094281860000024,0.0505306720733642,0.3754928410053253,0.281508264462808,0.9993777248996142,0.8375403819050156,0.26912759940282865,0.5703249533014542,Medium
806187690013799,1533881039429,21.739105224609,105455461693813,False,R65hV5P2R5iatnb_0iySlA,55.29910862445831,25.245758553779226,492619558525608.0,0.3942794799804687,0.0049171447753906,39.42794799804687,0.49171447753906,49.589665610000026,0.0299223791807889,0.0409433618187904,0.5074896694214877,0.9924348567984533,0.8754914901446222,0.5376413816780788,0.7068490872488447,High
1451858079027150,1716707870342,249.796,104723918435539,False,IzD18e9xfdctWqKYyuioEX,55.30114710330963,25.246515470421684,,0.1213874816894531,0.003387451171875,12.138748168945307,0.3387451171875,48.44291990000005,0.0379370711743831,-0.0275657400488853,0.33419421487603546,0.9947889352442527,0.8607320704808235,0.1655173490035875,0.5793489362081802,Medium
1181393299966908,1716707760732,214.033,104723918435539,False,rMoQ3KYJXv9Gh0tI82bDkd,55.30470371246338,25.25104231575193,,0.2251116434733072,0.221954345703125,22.51116434733072,22.1954345703125,48.51128030000004,0.0990888401865959,0.1097359731793403,0.3445247933884305,0.6584316319262349,0.7481183078114257,0.3069588482432518,0.49808531413570384,Medium
773339230216980,1496321510000,24.896445737563,111480967750226,False,hV5bl4CmD45odw60xPTCvA,55.30460715293884,25.238708328068753,1805883732926354.0,0.207456800672743,,20.7456800672743,0.0,51.787452470000034,0.035554751753807,0.1187599003314971,0.8396177685950449,,0.8651192199969375,0.2828841544437874,,
614589519500011,1496323240000,53.560202997601,111480967750226,False,DFLvdLzYvX7MUyyQbUrcdw,55.31166672706604,25.24931990252105,1805883732926354.0,0.0005408393012152,,0.05408393012152,0.0,49.99982800999999,0.0245064869523048,0.1668850630521774,0.5694731404958624,,0.8854651018963892,0.0007271016445327312,,
143856577721172,1496323444000,277.46617888309,111480967750226,False,zIJRB2tVQqCVXNvsJRJZsg,55.30793309211731,25.245821630346185,1805883732926354.0,0.3143056233723958,0.1131523980034722,31.430562337239586,11.31523980034722,51.31063868000001,0.046167429536581,0.1293357908725738,0.767561983471074,0.8258692935285998,0.8455754913947868,0.4285865386782818,0.7468951958512791,High
1385532508481762,1496323788000,90.0,111480967750226,False,OMEAegpDD5Rd75ueJEXgXg,55.31323850154877,25.248849267052336,1805883732926354.0,0.4209069146050347,0.0039130316840277,42.09069146050347,0.39130316840277,50.34504803000005,0.034385148435831,0.239565223455429,0.6216425619834757,0.9939801080697471,0.8672730976785723,0.5739513812908309,0.7566993785401661,Critical
182093243780886,1496322637000,287.44738696105,111480967750226,False,mFYK0hGDlQTlFZnS5pG3Ww,55.30624866485596,25.24593807930688,1805883732926354.0,0.2071651882595486,0.0078091091579861,20.71651882595486,0.7809109157986099,49.38458441,0.02184977568686,0.1295029670000076,0.4764979338842938,0.9879843504987333,0.8903575564690144,0.2824865026699889,0.6580397478727021,High
213045263709280,1496203262000,196.47303669593,111480967750226,False,8IZfIYHJVxozxWJw7Kslpw,55.30892550945282,25.25283748101569,1805883732926354.0,0.2210879855685764,,22.10879855685764,0.0,49.72638641000003,0.0377488322556018,0.1182711198925972,0.5281508264462821,,0.8610787210073282,0.3014720629399529,,
586916962279986,1455361636473,234.90961363186,109480207946971,False,rbB2SVHEeScRoKogMdp-AA,55.31393051147461,25.248470816590043,,0.4764035542805989,,47.64035542805989,0.0,50.12116772000002,0.0402620173990726,-0.048575010150671,0.5878099173553711,,0.8564505763131893,0.649628328527411,,
1151241512738323,1716707819391,208.477,104723918435539,False,IzD18e9xfdctWqKYyuioEX,55.30259549617767,25.24748101749981,,0.2806472778320312,,28.06472778320312,0.0,49.40509253000005,0.021839004009962,-0.0066282805055379,0.4795971074380196,,0.8903773930017155,0.3826889698449331,,
2458147424383178,1713713529574,174.35229396820068,106609934906640,False,IuTGVnNOCcFzf475tRjAqS,55.31096935272217,25.25136253636464,,0.1505330403645833,2.5431315104166665e-06,15.053304036458329,0.0002543131510416,50.314285850000005,0.0982958003878593,-0.0478260852396488,0.6169938016528902,0.9999980431600617,0.749578726653348,0.2052611410409575,0.6775019479379848,High
371869757574203,1496322967000,104.11493179035,111480967750226,False,DFLvdLzYvX7MUyyQbUrcdw,55.30945122241974,25.251449869112538,1805883732926354.0,0.4713168674045139,0.0133870442708333,47.13168674045139,1.33870442708333,51.671239790000016,0.0270984377712011,0.1846538484096527,0.8220557851239677,0.9794003459693011,0.8806919066301714,0.6426919637928813,0.8462145764368789,Critical
3885315438188753,1496322577000,41.630935002183,111480967750226,False,mFYK0hGDlQTlFZnS5pG3Ww,55.30665099620819,25.24520541940484,1805883732926354.0,,0.0011071099175347,0.0,0.1107109917534699,50.25959753000003,0.0245910119265317,0.1648778617382049,0.6087293388429764,0.9982982015336407,0.8853094453137428,,,
2885993601668698,1613727527000,307.82340168211,104723918435539,False,l890jopinugy0dw9uav6hd,55.30483782291412,25.254613212986072,,0.615960439046224,0.0006383260091145,61.5960439046224,0.06383260091145,49.66486205000001,0.0111329406499862,0.0697298720479011,0.5188533057851218,0.9990196231909017,0.9100930953897047,0.8399324454370327,0.76530471400527,Critical
294400362321000,1613727556000,207.74356052931,104723918435539,False,l890jopinugy0dw9uav6hd,55.30311584472656,25.253138289897123,,0.3399378458658854,0.029571533203125,33.99378458658854,2.9571533203125,49.584538580000014,0.1051964536309242,0.2020513266324997,0.5067148760330562,0.954493687234359,0.7368708599941982,0.4635394360165002,0.6582144596231269,High
