,gvi,svf,lst,ndvi,ndbi,pci
gvi,1.0,-0.07462682685442278,-0.039066018661813626,0.5007150077289786,-0.23477076495029606,0.3189751099686449
svf,-0.07462682685442278,1.0,0.1358661691140696,0.003973836088779458,-0.012017605427905987,-0.7069084479061953
lst,-0.039066018661813626,0.1358661691140696,1.0,-0.04049197453946253,0.013495398969016026,-0.752425760455323
ndvi,0.5007150077289786,0.003973836088779458,-0.04049197453946253,1.0,-0.36879663526446493,0.14881696381959555
ndbi,-0.23477076495029606,-0.012017605427905987,0.013495398969016026,-0.36879663526446493,1.0,-0.06006735060418431
pci,0.3189751099686449,-0.7069084479061953,-0.752425760455323,0.14881696381959555,-0.06006735060418431,1.0
