,gvi,svf,lst,ndvi,ndbi,pci
gvi,1.0,-0.09486711592772314,-0.1062057185923325,0.48165490604722927,-0.2321782464099075,0.38793015786690604
svf,-0.09486711592772314,1.0,0.21057740094518482,0.03169108668060678,-0.03997662353598029,-0.7362592273988929
lst,-0.1062057185923325,0.21057740094518482,1.0,-0.10470630089413713,0.009066026585230464,-0.7635594224720679
ndvi,0.48165490604722927,0.03169108668060678,-0.10470630089413713,1.0,-0.4357786164814077,0.17462721598884193
ndbi,-0.2321782464099075,-0.03997662353598029,0.009066026585230464,-0.4357786164814077,1.0,-0.04443958589529557
pci,0.38793015786690604,-0.7362592273988929,-0.7635594224720679,0.17462721598884193,-0.04443958589529557,1.0
