lat,lon,lst_30m,lst_10m,ndvi
25.230038154016675,55.29000318039457,49.16412212000003,49.667762074220164,0.005029731895774603
25.230038154016675,55.290093011922984,49.16412212000003,49.576174534453315,0.004050842951983213
25.230038154016675,55.2901828434514,49.39312946000001,49.480430296428956,0.004050842951983213
25.230038154016675,55.29027267497981,49.39312946000001,49.47770147564168,0.01872558332979679
25.230038154016675,55.290362506508224,49.39312946000001,49.42347065471453,0.04552887752652168
25.230038154016675,55.29054216956504,49.37433035000001,49.57116643037107,0.02336580492556095
25.230038154016675,55.290632001093456,49.54864937000002,49.59130689728043,0.017209481447935104
25.230038154016675,55.29072183262187,49.54864937000002,49.55346683473429,0.024707384407520294
25.230038154016675,55.29081166415028,49.54864937000002,49.570634124615445,0.008410570211708546
25.230038154016675,55.290901495678696,49.54864937000002,49.570569842695036,-0.0038282647728919983
25.230038154016675,55.2909913272071,49.54864937000002,49.47018672110381,0.007557661272585392
25.230038154016675,55.291081158735516,49.440981739999984,49.460709776118414,0.007557661272585392
25.230038154016675,55.29117099026393,49.440981739999984,49.453179260850774,0.007099283393472433
25.230038154016675,55.29126082179234,49.440981739999984,49.394504146886455,0.018685292452573776
25.230038154016675,55.29144048484917,49.71613235000001,49.667720896509685,0.014595887623727322
25.230038154016675,55.291530316377575,49.71613235000001,49.79393791126784,0.014998316764831543
25.230038154016675,55.29162014790599,49.71613235000001,49.84640465426087,0.032351303845644
25.230038154016675,55.2917099794344,49.994700980000005,50.05245524315666,0.013535793870687485
25.230038154016675,55.291799810962814,49.994700980000005,50.15598915153499,0.018862629309296608
25.230038154016675,55.29188964249123,49.994700980000005,50.067012936526986,0.048765525221824646
25.230038154016675,55.291979474019634,50.28694169000002,50.20674670897834,0.024807961657643318
25.230038154016675,55.29206930554805,50.28694169000002,50.24474844803309,0.024807961657643318
25.230038154016675,55.29215913707646,50.28694169000002,50.334124919032426,0.006438218988478184
25.230038154016675,55.29233880013329,50.30915881999999,50.27637613958096,0.025394121184945107
25.230038154016675,55.2924286316617,50.30915881999999,50.29329980140864,-0.00611033383756876
25.230038154016675,55.292518463190106,50.30915881999999,50.09674336850066,0.01265908032655716
25.230038154016675,55.29260829471852,49.90583246000003,49.98059492746331,0.012492673471570015
25.230038154016675,55.29269812624693,49.90583246000003,49.71950421087313,0.014420241117477417
25.230038154016675,55.292787957775346,49.90583246000003,49.43857530644187,0.02101963758468628
25.230038154016675,55.29287778930376,49.08550766000002,49.19098983919857,0.019766762852668762
25.230038154016675,55.292967620832165,49.08550766000002,48.93441281217093,0.019766762852668762
25.230038154016675,55.29305745236058,49.08550766000002,48.64959175536584,0.026418140158057213
25.230038154016675,55.293237115417405,48.22587563000002,48.35425130558833,0.028479797765612602
25.230038154016675,55.29332694694582,48.22587563000002,48.28392622675621,0.037974122911691666
25.230038154016675,55.29341677847423,48.22587563000002,48.24480052048187,0.04012109711766243
25.230038154016675,55.29350661000264,47.43118598000001,47.914327453210305,0.08454801887273788
25.230038154016675,55.29359644153105,47.43118598000001,47.72072057525309,0.0967433974146843
25.230038154016675,55.293686273059464,47.43118598000001,47.605964642677634,0.09036963433027267
25.230038154016675,55.29377610458788,46.78688921000003,47.50416293882791,0.06289084255695343
25.230038154016675,55.29386593611629,46.78688921000003,47.31754931581421,0.055384982377290726
25.230038154016675,55.2939557676447,46.78688921000003,47.0990632356359,0.055384982377290726
25.230038154016675,55.29413543070152,46.33571057000003,46.823153541326754,0.05730437859892845
25.230038154016675,55.294225262229936,46.33571057000003,46.66649140459724,0.06266958266496658
25.230038154016675,55.29431509375835,45.87598688,46.652758736570746,0.09670553356409073
25.230038154016675,55.29440492528676,45.87598688,46.50849417810099,0.1614813208580017
25.230038154016675,55.29449475681517,45.87598688,46.23179623886343,0.25744473934173584
25.230038154016675,55.29458458834358,45.87598688,45.2206666489381,0.5376963019371033
25.230038154016675,55.294674419871995,45.53076686,45.374361512936986,0.5436354875564575
25.230038154016675,55.29476425140041,45.53076686,45.394950916058875,0.5809205770492554
25.230038154016675,55.29494391445723,45.40771814000004,45.45326618994195,0.6110117435455322
25.230038154016675,55.29503374598564,45.40771814000004,45.42174242472949,0.6403475999832153
25.230038154016675,55.295123577514055,45.40771814000004,45.37473029562463,0.6153973340988159
25.230038154016675,55.29521340904247,45.240235160000026,45.02772929510299,0.6610934734344482
25.230038154016675,55.29530324057088,45.240235160000026,45.63466291308468,0.4821411073207855
25.230038154016675,55.295393072099294,45.240235160000026,46.13331068809549,0.29791852831840515
25.230038154016675,55.2954829036277,45.240235160000026,46.04060060721276,0.2529588043689728
25.230038154016675,55.295572735156114,44.97362960000001,45.5843426122088,0.2936134338378906
25.230038154016675,55.29566256668453,44.97362960000001,45.156135091912,0.3793772757053375
25.230038154016675,55.29584222974135,44.55150413000004,44.85396002658621,0.4203832447528839
25.230038154016675,55.29593206126976,44.55150413000004,44.85489060869836,0.31809231638908386
25.230038154016675,55.29602189279817,44.55150413000004,45.17294163504618,0.1411205530166626
25.230038154016675,55.296111724326586,44.34642293000002,44.994129939595304,0.081158347427845
25.230038154016675,55.296201555855,44.34642293000002,44.288819097302095,0.3927396237850189
25.230038154016675,55.29629138738341,44.34642293000002,43.597341500595796,0.7010632157325745
25.230038154016675,55.296381218911826,44.34642293000002,44.63986500740858,0.6010351777076721
25.230038154016675,55.29647105044023,44.12766965,44.43325166729292,0.6232985854148865
