id,lat,lon,gvi,svf,shade_score,green_score,comfort_index
893199664561131,25.244171924747377,55.30057311058045,3.2212999131944445e-05,0.2580362955729167,0.7419637044270833,3.2212999131944445e-05,3709.979587131076
1090637151499037,25.247917694563057,55.314558148384094,0.0063883463541666,0.688727060953776,0.311272939046224,0.0063883463541666,1588.306427001953
1610143932513787,25.246350501811705,55.3080028295517,0.0633939107259114,0.5690422058105469,0.4309577941894531,0.0633939107259114,2471.7585245768228
265519222484397,25.239770982897284,55.305819511413574,0.0056123844844357,0.46596724019131,0.53403275980869,0.0056123844844357,2698.225721465629
192241239428441,25.240023301400328,55.30592679977417,0.003607432047526,0.5400594075520834,0.45994059244791663,0.003607432047526,2317.7401224772134
1222526042638577,25.237878577428233,55.29966652393341,0.0011599858601888,0.4531027475992839,0.5468972524007161,0.0011599858601888,2740.2861913045244
2254982611523938,25.235971585190256,55.30473589897156,0.0317014058430989,0.3469149271647135,0.6530850728352865,0.0317014058430989,3423.9323933919272
530867724621843,25.250532872128375,55.31166136264801,0.0060526529947916,0.2936825222439236,0.7063174777560763,0.0060526529947916,3561.85065375434
4356689417935284,25.244448494601613,55.30661344528198,0.0026505788167317,0.2051779429117838,0.7948220570882162,0.0026505788167317,3987.3631795247397
1183650609949859,25.253725350245915,55.30687630176544,0.015509287516276,0.3314361572265625,0.6685638427734375,0.015509287516276,3420.3656514485674
195997335684829,25.24888323049771,55.31326532363891,0.0079871283637152,0.2015177408854166,0.7984822591145834,0.0079871283637152,4032.346937391493
1614681633057513,25.241076240268526,55.305272340774536,0.0004405975341796,0.3194150924682617,0.6805849075317383,0.0004405975341796,3405.127525329589
235716804975358,25.24700067091753,55.307283997535706,0.0024787055121527,0.0728030734592014,0.9271969265407987,0.0024787055121527,4648.378160264757
292779615808888,25.24825247924863,55.30873239040375,0.056671142578125,0.4152374267578125,0.5847625732421875,0.056671142578125,3207.1685791015625
767554887285372,25.23718468804074,55.302032232284546,0.1023729112413194,0.2491861979166666,0.7508138020833334,0.1023729112413194,4265.933566623265
184539156871151,25.24653002646475,55.308045744895935,0.2170562744140625,0.4664662679036458,0.5335337320963542,0.2170562744140625,3752.9500325520835
134963142005469,25.24413795998504,55.307069420814514,0.0402679443359375,0.4524485270182292,0.5475514729817708,0.0402679443359375,2939.0970865885415
1496790095783590,25.2384365974886,55.30370593070984,0.021461804707845,0.3541730244954427,0.6458269755045574,0.021461804707845,3336.4439010620117
319491853192358,25.248858970894844,55.30943512916565,0.000150892469618,0.3825497097439236,0.6174502902560763,0.000150892469618,3088.0059136284717
143203554455454,25.246995818922173,55.308313965797424,0.1470222473144531,0.3604571024576823,0.6395428975423176,0.1470222473144531,3932.825724283854
910661922812968,25.24933445822816,55.312755703926086,0.0122222900390625,0.3108808729383681,0.6891191270616319,0.0122222900390625,3506.707085503472
