id,captured_at,compass_angle,creator_id,is_pano,sequence_id,lon,lat,organization_id,svf,gvi,svf_percent,gvi_percent,lst,ndvi,ndbi,lst_norm,gvi_norm,ndvi_norm,svf_norm,priority_score,priority_level,shade,temp_comfort,veg_comfort,pci,comfort_level,seg_lat,seg_lon,segment_id
893199664561131,1496321704000,198.83250914347,111480967750226,False,hV5bl4CmD45odw60xPTCvA,55.30057311058045,25.244171924747377,1805883732926354.0,0.2580362955729167,3.2212999131944445e-05,25.803629557291668,0.0032212999131944,48.99322112000005,0.0397133864462375,0.2404082417488098,0.4253083599817329,0.9999509160035844,0.8595988766855883,0.3518559298375812,0.644809237806344,High,0.7419637044270833,0.5746916400182671,4.9083996415726774e-05,0.4895762235558899,Comfortable,25.244,55.3005,25.244_55.3005
1090637151499037,1647836912142,52.935876021207946,104723918435539,False,MticwheGQ250lHF9A4y86B,55.314558148384094,25.247917694563057,,0.688727060953776,0.0063883463541666,68.8727060953776,0.63883463541666,49.67682511999999,0.0455565676093101,0.1193693429231643,0.5166742804933739,0.9901693397876344,0.8495501841386135,0.93915927860882,0.7649959757633038,Critical,0.311272939046224,0.48332571950662606,0.00983066021236564,0.30473348152192026,Moderate,25.248,55.3145,25.248_55.3145
1610143932513787,1590390279500,84.172415405316,104723918435539,False,RIhcLjBWAC_7vtpPA1WavA,55.3080028295517,25.246350501811705,,0.5690422058105469,0.0633939107259114,56.90422058105469,6.33939107259114,50.13142177999998,0.0924996733665466,0.0296878758817911,0.5774326176336197,0.9024423772635102,0.7688207280786641,0.7759532805404366,0.7267407790661237,High,0.4309577941894531,0.42256738236638025,0.0975576227364898,0.34425158659698313,Moderate,25.2465,55.308,25.2465_55.308
265519222484397,1682244084288,198.28942966461184,223349379632335,False,uIbU82tPE6hRJiVkTLpBeo,55.305819511413574,25.239770982897284,,0.46596724019131,0.0056123844844357,46.596724019130995,0.56123844844357,50.04768029000002,0.0304920449852943,0.2247617840766906,0.5662402923709473,0.9913634824755676,0.8754570920353524,0.6353970454209629,0.7447379627874858,High,0.53403275980869,0.4337597076290527,0.008636517524432308,0.36257447836577067,Moderate,25.240000000000002,55.306000000000004,25.240000000000002_55.306000000000004
192241239428441,1533885931276,194.86170959473,105455461693813,False,YwhdGVpCQfCbEEpKwZ5v5Q,55.30592679977417,25.240023301400328,492619558525608.0,0.5400594075520834,0.003607432047526,54.005940755208336,0.3607432047525999,50.40828140000002,0.009700046852231,0.187449425458908,0.6144358154408429,0.994448942451868,0.911213710022285,0.7364314336791402,0.7870940188456322,Critical,0.45994059244791663,0.3855641845591571,0.005551057548132013,0.3165926455674667,Moderate,25.240000000000002,55.306000000000004,25.240000000000002_55.306000000000004
1222526042638577,1769844042102,300.9627710140735,916841867669093,False,cPRTfkuXU6Ch7DSwy5vxLJ,55.29966652393341,25.237878577428233,,0.4531027475992839,0.0011599858601888,45.31027475992839,0.11599858601888,49.34869520000001,0.029229249805212,0.0112490924075245,0.4728186386477849,0.998215364595436,0.8776287584890031,0.6178546224417785,0.7068852416720405,High,0.5468972524007161,0.5271813613522152,0.0017846354045638303,0.4027327417322777,Moderate,25.238,55.2995,25.238_55.2995
2254982611523938,1727262247793,151.0,106609934906640,False,xZiKBELQnHkvSjTz84hug5,55.30473589897156,25.235971585190256,,0.3469149271647135,0.0317014058430989,34.69149271647135,3.1701405843098898,48.77104982,0.0730379372835159,0.1743127405643463,0.3956144358154403,0.951214584306656,0.8022896548277887,0.4730536014939684,0.6274653915924931,High,0.6530850728352865,0.6043855641845597,0.04878541569334397,0.48253035508951014,Comfortable,25.236,55.304500000000004,25.236_55.304500000000004
530867724621843,1496323623000,142.56944474078,111480967750226,False,OMEAegpDD5Rd75ueJEXgXg,55.31166136264801,25.250532872128375,1805883732926354.0,0.2936825222439236,0.0060526529947916,29.36825222439236,0.60526529947916,49.18633925000003,0.0423188135027885,0.156417429447174,0.4511192325262712,0.990685944773166,0.855118246235465,0.4004642353266207,0.6592124637498862,High,0.7063174777560763,0.5488807674737288,0.009314055226834005,0.46909193801082677,Comfortable,25.2505,55.3115,25.2505_55.3115
4356689417935284,1769846095031,122.53125698322776,916841867669093,False,E65a3eUgdw4MPoXrc1f7Fi,55.30661344528198,25.244448494601613,,0.2051779429117838,0.0026505788167317,20.51779429117838,0.2650578816731699,49.76398463000004,0.0008762409561313,-0.0236241780221462,0.5283234353586158,0.99592146234434,0.9263882716300008,0.2797766329876421,0.6875538890036778,High,0.7948220570882162,0.4716765646413842,0.004078537655660164,0.4678779802513444,Comfortable,25.244500000000002,55.3065,25.244500000000002_55.3065
1183650609949859,1765024675595,359.0,106609934906640,False,RVXT0SZ4ljdfCkHAyoBtv6,55.30687630176544,25.253725350245915,,0.3314361572265625,0.015509287516276,33.14361572265625,1.5509287516276,50.43391655000002,0.0490599423646926,0.0826448649168014,0.6178620374600297,0.9761329475102918,0.8435253263066924,0.4519462684600299,0.7276750573919278,High,0.6685638427734375,0.38213796253997034,0.023867052489708194,0.39281929310911834,Moderate,25.2535,55.307,25.2535_55.307
