segment_id,lat,lon,pci_mean,pci_std,point_count,lst_mean,gvi_mean,svf_mean,shade_mean,rank
25.253_55.306000000000004,25.25286646716447,55.30594041714301,0.6673110266573198,0.0750712153264957,37,47.719570462307715,0.191544128967835,0.18262349098835912,0.8173765090116409,1
25.252_55.305,25.251797582202972,55.30522048473358,0.661779841920534,0.08174873402840685,3,48.38310455000004,0.23803654423466436,0.14210736310040506,0.8578926368995949,2
25.2525_55.306000000000004,25.252702844533577,55.305781960487366,0.6491747307954154,0.020639487377563843,4,47.61661356500001,0.2330945332845052,0.30506854587131077,0.6949314541286893,3
25.252_55.3055,25.25204615597263,55.30539035797119,0.637063551970836,0.07277692793150746,10,48.087274919000016,0.22026418050130206,0.24428151448567706,0.755718485514323,4
25.2495_55.301,25.24952668784024,55.30099941565927,0.6347046318345464,0.03550549491853417,110,46.86500457858408,0.07255957632353807,0.29901075785138964,0.7009892421486104,5
25.2405_55.297000000000004,25.240518463353666,55.296952383858816,0.6337120309172746,0.0349167022419926,16,47.135364487142866,0.007809638977050748,0.1775435997695519,0.8224564002304481,6
25.2425_55.306000000000004,25.242638648853507,55.30579483509064,0.6199866413107389,0.03496132981789661,5,48.045404174000005,0.18211390177408848,0.258368174235026,0.741631825764974,7
25.25_55.301,25.249855816016165,55.3011939200488,0.6195148687175677,0.022773107907287055,10,47.08285866909092,0.02021276685926643,0.24386893378363708,0.7561310662163628,8
25.2525_55.3055,25.25244642829643,55.305603325366974,0.6189460477566006,0.03034766691460763,10,47.72547750200001,0.18903435601128468,0.32420230441623266,0.6757976955837673,9
25.2405_55.296,25.24045715093368,55.29595687108881,0.5984439610793157,0.07357752737858836,8,47.24480336000003,0.006484826405843051,0.34084806255265776,0.6591519374473422,10
25.25_55.301500000000004,25.250065013811586,55.30138735260282,0.5965487342905224,0.02253716232542435,12,47.63541267500001,0.015405125088161851,0.21704071287124874,0.7829592871287513,11
25.251_55.305,25.251149497107033,55.30481490221891,0.5942926430792226,0.04572520813912803,11,48.748366596363645,0.172685950693458,0.20000900885071415,0.799990991149286,12
25.2525_55.307,25.25248927325308,55.30698235218342,0.5903103351385153,0.062375018004137105,13,48.58161263461542,0.10774713499933222,0.16880407088842148,0.8311959291115786,13
25.240000000000002_55.296,25.239936981884046,55.29587359804856,0.5900220476445776,0.049409779813474095,14,47.34393652210528,0.016056514921642444,0.27233886718749994,0.7276611328125,14
25.2515_55.305,25.251448292221873,55.305019944906235,0.5861207081307356,0.02631481466536423,40,48.56592589475002,0.09149799346923823,0.16562211778428815,0.8343778822157117,15
25.2405_55.2975,25.240463887044577,55.297502875328064,0.5853282805570087,0.02195587755311362,7,48.103396580000044,0.006102546812996,0.08051599573206013,0.9194840042679399,16
25.243000000000002_55.306000000000004,25.243039356453806,55.305913388729095,0.5824893822879025,0.023254598837676912,12,47.96055182750003,0.10187212626139319,0.2919537226359049,0.7080462773640951,17
25.2525_55.3065,25.25267737274915,55.30660731451852,0.5783565897422285,0.03933295268481047,5,48.467334328571454,0.1451436360677083,0.25212484692770337,0.7478751530722967,18
25.2425_55.305,25.24249793581954,55.304874658584595,0.5702314150764122,0.14583769517544368,15,49.65927928400003,0.3223729451497395,0.2759740193684896,0.7240259806315105,19
25.2465_55.301500000000004,25.246312494300412,55.301308035850525,0.5684557772945877,0.0016925590933829482,6,48.509571290000025,0.003755569458007767,0.12937715318467877,0.8706228468153213,20
25.241500000000002_55.299,25.241465274396077,55.299029420403876,0.5677914485166106,0.02229770268269981,8,48.576926390000004,0.002541012234157936,0.09248332104651753,0.9075166789534824,21
25.240000000000002_55.297000000000004,25.239982865669322,55.296947836875916,0.5658819973214113,0.013416672932524933,10,46.98331142599999,0.002496676974826348,0.39456278483072915,0.6054372151692708,22
25.2405_55.298,25.240293411008498,55.29780328273773,0.5637734885093796,0.02617908943258065,3,48.707816450000024,0.0023102936921296,0.10692794234664353,0.8930720576533565,23
25.253_55.3065,25.252829596894085,55.30637741088867,0.5607000298599842,0.010787138286970638,3,48.233566175000036,0.06753653067129627,0.16261333889431423,0.8373866611056857,24
25.251_55.3025,25.251202426161484,55.302295088768005,0.5606029802449995,0.0010179414876055571,3,48.44121089000003,0.0018174913194444,0.16148969862196175,0.8385103013780383,25
25.240000000000002_55.298,25.240091579773235,55.29805298362459,0.5604665324386434,0.023306785695974146,10,48.96074993000002,0.00481838650173608,0.09315817696707586,0.9068418230329242,26
25.242_55.300000000000004,25.24210768172262,55.30002440725054,0.5601391668475385,0.026609490625816096,9,49.212340616428584,0.005401988088348735,0.06355951702783975,0.9364404829721602,27
25.2465_55.301,25.246434711271352,55.3009957075119,0.5573851354386312,0.038864409389072124,42,48.58978082600003,0.03224508690111561,0.18077850341796872,0.8192214965820312,28
25.244_55.298,25.243961161049814,55.297995172441006,0.5536878167659751,0.05806355893188213,13,48.68698789062502,0.004457033597505957,0.12082107861836747,0.8791789213816326,29
25.246000000000002_55.301500000000004,25.246078657146597,55.30152957181673,0.5508460111605864,0.03317150072221272,33,48.54721569945949,0.020098517922794077,0.1837721930609809,0.8162278069390191,30
25.244500000000002_55.298,25.244433938253746,55.29815835612161,0.5480113212820555,0.03239926683226588,7,48.89263367428573,0.015362330845424042,0.13439051310221353,0.8656094868977865,31
25.244500000000002_55.298500000000004,25.244608613643386,55.298361437661306,0.5456662199964691,0.025306509726500084,7,49.04131754428573,0.008093879336402486,0.10742223830450144,0.8925777616954986,32
25.252_55.303000000000004,25.252086425865503,55.30284869670868,0.5448485888601599,0.012845750449684905,5,48.442236296000004,0.00784835815429682,0.21295445760091142,0.7870455423990885,33
25.251_55.304500000000004,25.25091490226432,55.304637706798054,0.5435104441425127,0.054518140963390214,23,49.673555709565235,0.19897173453068384,0.21420772755203613,0.7857922724479639,34
25.2425_55.2995,25.24230340761027,55.29957386580381,0.5412662845426355,0.02708073883955495,9,49.01574897909092,0.0011253827883873002,0.09679158528645831,0.9032084147135417,35
25.2515_55.3055,25.251395357495273,55.305490388589746,0.5409705224495996,0.047406051650728684,17,49.28194328000001,0.1035222072227328,0.1841782214594822,0.8158217785405179,36
25.2395_55.297000000000004,25.23957397992264,55.296966314315796,0.5407441380812112,0.05661231160953454,36,47.51386408600002,0.0017015433605805956,0.3737901381504389,0.6262098618495612,37
25.2425_55.3055,25.24236288357449,55.30570864677429,0.5400173625788727,0.029778125550051212,6,48.78643091000001,0.13090917799207896,0.302584966023763,0.6974150339762369,38
25.240000000000002_55.298500000000004,25.239861309981354,55.29847727372096,0.5398588586366019,0.026161110962360696,8,49.41192857000002,0.00862990485297305,0.08132882403512282,0.9186711759648772,39
25.241_55.302,25.241121366002083,55.30205690860748,0.5390074563335531,0.002249235699264861,5,49.00381698200001,0.0006168506763599167,0.08338852870611493,0.9166114712938851,40
25.241_55.299,25.241115058083626,55.29884099960327,0.5383613572178783,0.02295370515359704,7,48.76250477000002,0.005241757347470213,0.16446374963831015,0.8355362503616899,41
25.242_55.2995,25.24203600785874,55.299394726753235,0.5358016637675782,0.030793888891217754,5,48.87848958200002,0.005477227105034691,0.12814251935040505,0.8718574806495949,42
25.241500000000002_55.2995,25.241687619934826,55.299291014671326,0.5356393323888596,0.001906573456241028,3,48.46684604000001,0.0013992874710648,0.22792731391059026,0.7720726860894098,43
