shade_08,shade_10,shade_12,shade_14,shade_16,shade_avg,length,mid_lat,mid_lon
0.1758,0.0,0.0,0.0,0.0,0.035160000000000004,203.333,25.239969812994396,55.29396830887113
0.0,0.0,0.0,0.0,0.0,0.0,25.338,25.24173875,55.29022915
0.0,0.0,0.0,0.0,0.0,0.0,4.628,25.2416215,55.29015575
0.045,0.0,0.0,0.0,0.7834,0.16568,80.952,25.2397306,55.29141575
0.6332,0.1421,0.0831,0.0831,0.1476,0.21781999999999999,79.165,25.23987465,55.29194645
0.2311,0.0,0.0,0.0,0.0,0.04622,26.115,25.24011025,55.2914925
0.0,0.0,0.0,0.0,0.3105,0.0621,39.87,25.2388539,55.29089885
0.4469,0.3563,0.2999,0.2999,0.2999,0.34058,27.174,25.2391199,55.2910557
0.1356,0.0736,0.0208,0.0208,0.0464,0.05943999999999999,71.956,25.238846279478892,55.29129983315906
0.263,0.1955,0.167,0.167,0.3275,0.22400000000000003,81.023,25.23937735,55.29209555
0.1045,0.0911,0.0812,0.0812,0.0824,0.08808,69.998,25.239974056817612,55.292451290714375
0.6098,0.0,0.0,0.0,0.0,0.12196,29.277,25.2405652,55.29061565
0.4525,0.0,0.0,0.0,0.0,0.0905,48.968,25.24074035,55.2902783
0.0628,0.0,0.0,0.0,0.0633,0.02522,78.961,25.240937055861195,55.29069077620172
0.5838,0.5938,0.4591,0.4591,0.9272,0.6046,22.896,25.23931855,55.29117284999999
0.4939,0.031,0.0225,0.1534,0.5943,0.25902000000000003,184.103,25.239788253860766,55.29064495220144
0.0951,0.0,0.0,0.0,0.0,0.019020000000000002,73.975,25.2403342,55.2910609
0.8365,0.0,0.0,0.0,0.1008,0.18746000000000002,48.309,25.2374936,55.29097945000001
0.4223,0.0,0.0,0.0,1.0,0.28446,23.822,25.23721045,55.29080465
0.417,0.0438,0.0171,0.0171,0.7017,0.23933999999999997,56.828,25.23689,55.29061695
0.0,0.0,0.0,0.0,0.0,0.0,62.075,25.243554737745622,55.29746140493097
0.0,0.0,0.0,0.0,0.0,0.0,65.77,25.243498591674438,55.297510664609156
0.7705,0.6892,0.5928,0.5749,0.5749,0.64046,111.328,25.24420955750532,55.29790814090881
0.0,0.0,0.0,0.0,0.7527,0.15054,79.388,25.2474974,55.2941348
0.1232,0.0,0.0,0.0,0.0672,0.03808,37.101,25.24710125,55.29409705
0.6583,0.0,0.0,0.0,0.0,0.13166,78.577,25.2473629,55.29360005
0.1339,0.0905,0.0112,0.0314,0.6755,0.18849999999999997,79.171,25.24811505,55.29452855
0.0,0.0,0.0,0.0,0.0,0.0,4.138,25.24841345,55.29474445
0.2451,0.1532,0.0,0.0,0.0,0.07966,151.051,25.248521741548736,55.29412133255148
1.0,0.0,0.0,0.0,0.0,0.2,17.72,25.253857,55.29266915
0.2933,0.0,0.0,0.0,0.0,0.058660000000000004,9.753,25.2539463,55.2927635
0.0746,0.0,0.0,0.0,0.0,0.01492,22.98,25.25398991965266,55.29265006603618
0.0,0.0,0.0,0.0,0.0,0.0,80.849,25.2543049,55.2922723
0.0737,0.0,0.0,0.0,0.4063,0.096,39.774,25.2546841,55.2921255
0.0608,0.0,0.0,0.0,0.0,0.01216,17.602,25.2511324,55.2907573
0.2447,0.0,0.0,0.0,0.0,0.04894,97.797,25.25100755,55.291155
1.0,0.0686,0.0,0.0,0.0,0.21372,26.48,25.251292086628,55.29064050963824
1.0,0.0,0.0,0.0,1.0,0.4,6.011,25.2543898,55.2978138
1.0,0.0,0.0,0.0,0.1461,0.22922000000000003,8.983,25.2544388,55.29780785
1.0,0.0,0.0,0.0,1.0,0.4,10.708,25.254426,55.29774095000001
1.0,0.0,0.0,0.0,1.0,0.4,4.143,25.2543862,55.29777825
0.4804,0.0,0.0,0.0,0.0,0.09608,31.662,25.2543061,55.29362415
0.0,0.0,0.0,0.0,0.0,0.0,25.229,25.25445665,55.29357435
0.0,0.0,0.0,0.0,0.0,0.0,18.981,25.25431535,55.29341975
0.0,0.0,0.0,0.0,0.8183,0.16366,42.1,25.253738,55.29480425
0.0,0.0,0.0,0.0,1.0,0.2,7.057,25.25384615,55.29459115
0.0,0.0,0.0,0.0018,1.0,0.20036,41.19,25.25399867237428,55.29471087155908
0.0,0.0,0.0,0.0,0.2752,0.05504,45.673,25.25040265,55.30152055
0.0,0.0,0.0,0.3201,1.0,0.26402000000000003,23.76,25.25067815,55.30168295
0.0,0.0,0.0,0.0,0.0015,0.00030000000000000003,55.223,25.250530969052438,55.301376623534
0.0,0.0,0.0,0.0,0.7996,0.15992,44.67,25.25004425000001,55.3013091
0.0,0.0,0.0,0.0,0.5066,0.10132000000000001,35.63,25.250362130888625,55.30134209547674
1.0,0.0,0.0,0.0,0.0,0.2,11.422,25.25204815,55.2981791
1.0,0.0,0.0,0.0,0.0,0.2,11.234,25.2521181,55.29816035
1.0,0.9891,0.0,0.0,0.0,0.39782,7.907,25.2521227,55.2982285
1.0,0.0,0.0,0.0,0.0,0.2,16.532,25.252055158888744,55.298279577121626
0.8242,0.665,0.0,0.0,0.0916,0.31616,91.847,25.25412955,55.29943165
1.0,0.0,0.0,0.0,0.0,0.2,2.678,25.2537662,55.2991878
0.9696,0.0,0.0,0.0,0.0,0.19392,10.517,25.253817734188345,55.299169245686606
0.0211,0.0,0.0,0.0,0.0,0.00422,26.074,25.2526257,55.3057528
0.0,0.0,0.0,0.0,0.0,0.0,13.454,25.25278697700123,55.305833832595496
0.0,0.0,0.0,0.0,0.0,0.0,13.214,25.252773229041093,55.3058574117022
0.9314,0.0,0.0,0.0,0.781,0.34248,19.833,25.25347995,55.304339
0.6687,0.5524,0.393,0.4224,0.5476,0.51682,108.09,25.25400408739575,55.30459176814255
0.9854,0.6667,0.0,0.0,0.3132,0.39305999999999996,90.431,25.25356872917769,55.304769167011926
1.0,0.2585,0.0,0.1921,0.9796,0.48604,57.096,25.25100426623015,55.30311567796143
0.9424,0.0,0.0,0.8056,0.9343,0.53646,49.431,25.251384487438468,55.30306366904219
1.0,0.752,0.4205,0.5379,0.5521,0.6525000000000001,54.779,25.250981807012984,55.3028070306321
1.0,0.3057,0.0,0.0,0.0,0.26114000000000004,33.153,25.25081572567349,55.30349827531854
1.0,0.0,0.0,0.0,0.9044,0.38088,33.224,25.25078261249272,55.30348001972903
0.0835,0.0,0.0,0.0,1.0,0.21669999999999998,27.419,25.250593902003935,55.303555580948654
0.0,0.0,0.0,0.0,0.1391,0.02782,28.499,25.25036453427404,55.3034434809968
0.0,0.0,0.0,0.0,0.169,0.033800000000000004,28.506,25.250380799181734,55.30341111216407
1.0,0.8189,0.0,0.0,0.8215,0.52808,72.624,25.249211,55.30628715000001
1.0,0.8762,0.0,0.0,0.6126,0.49776,32.768,25.248752083042223,55.30616062985524
1.0,0.7617,0.0,0.0,0.6392,0.48018,32.865,25.248763541122525,55.30612022130256
0.0,0.0,0.0,0.0,0.2301,0.04602,23.493,25.2497295,55.3075102
0.0,0.0,0.0,0.0,0.0,0.0,6.548,25.2495997,55.307469
0.0399,0.0,0.0,0.0,0.0,0.00798,30.8,25.249663038230434,55.307331337579406
1.0,0.0,0.0,0.0,1.0,0.4,12.958,25.25160105,55.30514595
1.0,0.0,0.0,0.0,0.588,0.3176,6.56,25.2515237,55.3051001
1.0,0.6582,0.0,0.0,0.2949,0.39061999999999997,17.861,25.2515157,55.30519595
0.0,0.0,0.0,0.0,0.0,0.0,6.47,25.2512809,55.30595695
0.0,0.0,0.0,0.0,0.0,0.0,49.471,25.25121515,55.3062254
0.0,0.0,0.0,0.0,0.2095,0.0419,15.637,25.25133955,55.30601405
1.0,0.9082,0.0,0.0,0.8781,0.55726,128.508,25.24794425,55.30107845000001
1.0,0.2881,0.0,0.0,0.4346,0.34454,88.855,25.247148359072924,55.30100571651537
0.6598,0.3979,0.0,0.1032,0.7534,0.38286,104.162,25.247044559852984,55.30050088349984
0.8249,0.8271,0.3234,0.7575,1.0,0.74658,45.928,25.25026295,55.30259325
0.9883,0.8236,0.0,0.8217,0.9804,0.7228,165.11,25.249530794227667,55.30202948287745
1.0,0.0,0.0,0.0,0.746,0.3492,59.985,25.24995023623956,55.30276402882421
0.1993,0.0,0.0,0.0,1.0,0.23986000000000002,32.562,25.250884152627158,55.30222189936525
1.0,0.0,0.0,0.0,0.4417,0.28834,57.368,25.251238504932342,55.302347243404036
0.1218,0.0,0.0,0.0,1.0,0.22435999999999998,46.118,25.25084671136727,55.30207003276297
0.0,0.0,0.0,0.0,1.0,0.2,6.589,25.25064245,55.3019372
0.0,0.0,0.0,0.0,1.0,0.2,36.66,25.250728671823126,55.302121443681195
0.0,0.0,0.0,0.0,0.1379,0.02758,122.438,25.25108615,55.308553
0.375,0.2257,0.0,0.1009,0.9111,0.32254,98.92,25.251673556792145,55.30805560604172
0.1162,0.0,0.0,0.4212,0.8216,0.2718,47.669,25.251039998142698,55.30790500584149
0.0,0.0,0.0,0.0,0.0,0.0,12.271,25.25090975,55.3091937
0.0,0.0,0.0,0.0,0.5214,0.10428,68.255,25.2505981,55.30915865
0.0,0.0,0.0,0.0,0.0565,0.011300000000000001,94.207,25.25130292428429,55.30936865547468
0.3229,0.276,0.2732,0.2732,1.0,0.42905999999999994,10.024,25.24816455,55.3085058
0.1807,0.17,0.1297,0.1566,0.3887,0.20514000000000002,131.238,25.248776850515863,55.30869331188833
0.1415,0.1445,0.1035,0.1461,0.3938,0.18588,126.739,25.248747915271238,55.30858385729556
0.0,0.0,0.0,0.0467,0.295,0.06834,69.414,25.24635285,55.30416315
0.1266,0.2528,0.0,0.2067,0.2818,0.17358,20.195,25.24636665,55.30379145000001
0.0,0.0,0.0,0.3109,1.0,0.26217999999999997,23.212,25.246528809625293,55.30377976789838
0.5203,0.0447,0.0,0.0,0.0,0.11299999999999999,75.416,25.24664985,55.30435055
