id,captured_at,compass_angle,creator_id,is_pano,sequence_id,lon,lat,organization_id,svf,gvi,svf_percent,gvi_percent
1754344048078628,1496322390000,350.94339761861,111480967750226,False,wEGgAzW5CIJ6tC0jp2VEVQ,55.30448913574219,25.2462874255193,1805883732926354.0,0.3868187798394097,,38.68187798394097,0.0
4675823309113674,1496322231000,278.35031864359,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.30261158943176,25.24568577308436,1805883732926354.0,0.2418382432725694,0.0019293891059027,24.18382432725694,0.19293891059027
1147410232613567,1676372366104,301.886803150177,106609934906640,False,4D8x3iRjBQWsmopULgTIKN,55.30095934867859,25.24951883036688,,0.2920519510904948,0.0910072326660156,29.20519510904948,9.100723266601559
1185966648519655,1496322192000,271.68189984714,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.303335785865784,25.245515951293427,1805883732926354.0,0.2197519938151041,0.0428704155815972,21.97519938151041,4.2870415581597205
1318247525702895,1676372279821,209.95678758621216,106609934906640,False,bA3hLdalrkNnqY5w48iv6o,55.30194640159607,25.25110538957574,,0.1239433288574218,0.003570556640625,12.39433288574218,0.3570556640625
301788681542757,1496322182000,130.59287536606,111480967750226,False,wEGgAzW5CIJ6tC0jp2VEVQ,55.303534269332886,25.245481986906785,1805883732926354.0,0.3067270914713542,0.059478759765625,30.672709147135418,5.9478759765625
583449926973895,1676372568000,209.2959251403809,106609934906640,False,4D8x3iRjBQWsmopULgTIKN,55.299038887023926,25.246127308629937,,0.2547009785970052,0.0277277628580729,25.47009785970052,2.77277628580729
949095176253789,1676372296876,213.22831535339355,106609934906640,False,bA3hLdalrkNnqY5w48iv6o,55.3011417388916,25.249722609773656,,0.2305437723795572,0.0103187561035156,23.05437723795572,1.03187561035156
867585210516145,1496322264000,40.481533363941,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.30218780040741,25.246544582506075,1805883732926354.0,0.2473110622829861,0.0055185953776041,24.73110622829861,0.55185953776041
387117140332436,1716707835507,207.906,104723918435539,False,IzD18e9xfdctWqKYyuioEX,55.30200004577637,25.246442690180203,,0.2585563659667969,0.0011749267578125,25.855636596679688,0.11749267578125
1365956491503648,1767255880908,64.0,106609934906640,False,kO0Qw2TH5RNugaBDP8snoW,55.298523902893066,25.244744472169387,,0.1528536478678385,0.0034268697102864,15.28536478678385,0.34268697102864
