id,x1,y1,x2,y2,length
0,329203.6565760055,2794247.45205194,329937.748850213,2793802.5648388285,906.0896907930578
1,329917.7054008164,2794177.842772108,329397.89325095515,2792652.424603571,1700.605272382793
2,329804.4399496668,2793927.485508604,329968.1346047805,2794219.2054728554,351.7271681730598
3,329790.84183075384,2793918.0962847555,329749.89389957953,2793940.9562447146,46.89894022097337
4,329800.544762534,2793990.2142821886,329504.144489228,2793115.5778953256,1013.8240067866685
5,329813.70071134774,2793971.68125041,329210.4045821358,2794260.8599525723,699.1480490900408
6,328025.1858504175,2791613.490916542,328116.07969869184,2791605.844567056,91.21490182303258
7,327783.5427113989,2791559.798838,327781.3911354607,2791533.2497177604,26.636160843983667
8,327783.5427113989,2791559.798838,328999.44836857804,2793778.360028688,2532.2873965711215
9,327783.5427113989,2791559.798838,327823.7087124628,2791543.224534282,43.45129670325994
10,328224.3968564434,2792528.62989261,327755.6068871313,2791619.699398493,1101.3411754949566
11,327861.7783492969,2791796.7845353223,328381.58559564257,2792742.769635258,1731.325433469638
12,327851.7236244535,2791781.059581965,327833.9575012559,2791773.8188898833,19.184961696479775
13,327851.7236244535,2791781.059581965,327854.6296458456,2791826.5316808126,45.64404155287457
14,327877.99414908263,2791831.873299899,327854.6296458456,2791826.5316808126,23.96732997179831
15,328122.09493341396,2792284.1603510324,328083.6990605747,2792226.5653769346,69.22011335164409
16,329723.2405516926,2791828.029286222,329760.38429438643,2791778.574896807,61.849771654684204
17,329723.2405516926,2791828.029286222,329754.90194739605,2791896.259484416,75.54420452737003
18,329723.2405516926,2791828.029286222,329927.7211859911,2791695.180478207,243.85983102203124
19,329221.4756178118,2791979.1973568057,329252.8755994424,2791983.398552802,31.679786839592534
20,329221.4756178118,2791979.1973568057,329250.1300773256,2792050.898690909,77.21502031501797
21,329252.8755994424,2791983.398552802,329160.10621883324,2792028.250216337,103.04285370884676
22,329160.10621883324,2792028.250216337,329098.07035128283,2791983.8016695627,224.6157620322808
23,329160.10621883324,2792028.250216337,329172.78396204347,2792007.6511157,24.18776798195208
24,330142.4300259516,2793355.1200539307,329297.58025984745,2792263.5087580336,1499.6605911054764
25,329661.5188423699,2792767.350215046,329718.20780416427,2792758.051078782,57.446604117078074
26,329271.2675626818,2792015.580968972,329463.6140987645,2791907.8808912034,248.03266506708127
27,329271.2675626818,2792015.580968972,329218.45526332123,2792071.2167729954,134.2388422450371
28,329218.45526332123,2792071.2167729954,329592.82888980303,2793342.8238567333,1325.67487600105
29,329218.45526332123,2792071.2167729954,329172.78396204347,2792007.6511157,78.27170975381793
30,329747.0171019742,2793857.297592472,329699.1624256209,2793734.1248003026,297.21700773989767
31,329749.89389957953,2793940.9562447146,329728.4025473647,2793966.396238544,33.302725204779364
