x1,y1,x2,y2
329796.49136986444,2793932.3158908463,329804.4399496668,2793927.485508604
329796.49136986444,2793932.3158908463,329790.84183075384,2793918.0962847555
329777.9339564333,2793941.932611567,329783.7014754287,2793939.1126474743
329783.7014754287,2793939.1126474743,329787.78675629024,2793937.111482377
329787.78675629024,2793937.111482377,329796.49136986444,2793932.3158908463
329813.70071134774,2793971.68125041,329806.3026749104,2793954.6144242785
329806.3026749104,2793954.6144242785,329796.49136986444,2793932.3158908463
328025.1858504175,2791613.490916542,328028.34772905346,2791610.1494567157
328028.34772905346,2791610.1494567157,328031.9795279966,2791607.3116218857
328031.9795279966,2791607.3116218857,328038.83763157984,2791603.8235010426
328038.83763157984,2791603.8235010426,328046.2475790831,2791601.735297213
328046.2475790831,2791601.735297213,328053.9282560623,2791601.128129262
328053.9282560623,2791601.128129262,328061.58762857784,2791602.01678529
328061.58762857784,2791602.01678529,328073.1223736825,2791603.376892356
328073.1223736825,2791603.376892356,328092.6876199248,2791606.285656937
328092.6876199248,2791606.285656937,328098.5305502737,2791606.9647626625
328098.5305502737,2791606.9647626625,328104.40702741407,2791607.1116942074
328104.40702741407,2791607.1116942074,328110.2668182232,2791606.738167725
328110.2668182232,2791606.738167725,328116.07969869184,2791605.844567056
327783.5427113989,2791559.798838,327782.0350452393,2791549.8033676823
327782.0350452393,2791549.8033676823,327781.39044714614,2791542.69939318
327781.39044714614,2791542.69939318,327781.3911354607,2791533.2497177604
327861.7783492969,2791796.7845353223,327851.7236244535,2791781.059581965
327877.99414908263,2791831.873299899,327868.08023131033,2791816.124389809
327868.08023131033,2791816.124389809,327865.74501596496,2791811.5677339975
327865.74501596496,2791811.5677339975,327863.900644692,2791806.7832725677
327863.900644692,2791806.7832725677,327862.5681127311,2791801.837207248
327862.5681127311,2791801.837207248,327861.7783492969,2791796.7845353223
328122.09493341396,2792284.1603510324,328069.39799680526,2792173.184224833
328069.39799680526,2792173.184224833,328052.95965737524,2792137.1675423677
328052.95965737524,2792137.1675423677,327973.3704329602,2791979.5953179495
327973.3704329602,2791979.5953179495,327944.68545600877,2791932.999687294
327944.68545600877,2791932.999687294,327917.88339400844,2791889.4820476766
327917.88339400844,2791889.4820476766,327884.21651404805,2791836.247585237
327884.21651404805,2791836.247585237,327861.7783492969,2791796.7845353223
329723.2405516926,2791828.029286222,329722.22451143677,2791823.356054743
