id,start_x,start_y,end_x,end_y,length,wkt
0,329796.49136986444,2793932.3158908463,329804.4399496668,2793927.485508604,9.301210323469359,"LINESTRING (329796.49136986444 2793932.3158908463, 329804.4399496668 2793927.485508604)"
1,329796.49136986444,2793932.3158908463,329790.84183075384,2793918.0962847555,15.30080029082768,"LINESTRING (329796.49136986444 2793932.3158908463, 329790.84183075384 2793918.0962847555)"
2,329777.9339564333,2793941.932611567,329796.49136986444,2793932.3158908463,20.90730032982278,"LINESTRING (329777.9339564333 2793941.932611567, 329783.7014754287 2793939.1126474743, 329787.78675629024 2793937.111482377, 329796.49136986444 2793932.3158908463)"
3,329813.70071134774,2793971.68125041,329796.49136986444,2793932.3158908463,42.962851016158766,"LINESTRING (329813.70071134774 2793971.68125041, 329806.3026749104 2793954.6144242785, 329796.49136986444 2793932.3158908463)"
4,328025.1858504175,2791613.490916542,328116.07969869184,2791605.844567056,94.92586607276468,"LINESTRING (328025.1858504175 2791613.490916542, 328028.34772905346 2791610.1494567157, 328031.9795279966 2791607.3116218857, 328038.83763157984 2791603.8235010426, 328046.2475790831 2791601.735297213, 328053.9282560623 2791601.128129262, 328061.58762857784 2791602.01678529, 328073.1223736825 2791603.376892356, 328092.6876199248 2791606.285656937, 328098.5305502737 2791606.9647626625, 328104.40702741407 2791607.1116942074, 328110.2668182232 2791606.738167725, 328116.07969869184 2791605.844567056)"
5,327783.5427113989,2791559.798838,327781.3911354607,2791533.2497177604,26.691369874073644,"LINESTRING (327783.5427113989 2791559.798838, 327782.0350452393 2791549.8033676823, 327781.39044714614 2791542.69939318, 327781.3911354607 2791533.2497177604)"
6,327861.7783492969,2791796.7845353223,327851.7236244535,2791781.059581965,18.664716707218677,"LINESTRING (327861.7783492969 2791796.7845353223, 327851.7236244535 2791781.059581965)"
7,327877.99414908263,2791831.873299899,327861.7783492969,2791796.7845353223,39.09379345979619,"LINESTRING (327877.99414908263 2791831.873299899, 327868.08023131033 2791816.124389809, 327865.74501596496 2791811.5677339975, 327863.900644692 2791806.7832725677, 327862.5681127311 2791801.837207248, 327861.7783492969 2791796.7845353223)"
8,328122.09493341396,2792284.1603510324,327861.7783492969,2791796.7845353223,553.1840519181344,"LINESTRING (328122.09493341396 2792284.1603510324, 328069.39799680526 2792173.184224833, 328052.95965737524 2792137.1675423677, 327973.3704329602 2791979.5953179495, 327944.68545600877 2791932.999687294, 327917.88339400844 2791889.4820476766, 327884.21651404805 2791836.247585237, 327861.7783492969 2791796.7845353223)"
9,329723.2405516926,2791828.029286222,329760.38429438643,2791778.574896807,67.10919384466266,"LINESTRING (329723.2405516926 2791828.029286222, 329722.22451143677 2791823.356054743, 329722.2116174329 2791818.3267827877, 329723.0358968581 2791813.3645244446, 329725.2642214624 2791807.875011464, 329728.7100099502 2791803.045943193, 329733.1954023392 2791799.156509365, 329738.4501934014 2791796.3541248143, 329744.0265404851 2791793.4812291106, 329749.20161709667 2791789.9487007405, 329753.91581156815 2791785.823757414, 329760.38429438643 2791778.574896807)"
10,329221.4756178118,2791979.1973568057,329252.8755994424,2791983.398552802,45.896192389978495,"LINESTRING (329221.4756178118 2791979.1973568057, 329227.90366882016 2791975.161367197, 329243.1691678263 2791965.5856127227, 329248.0069254049 2791974.464581909, 329252.8755994424 2791983.398552802)"
